ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes,uf_nome
2022,CE,Q,2255,1922.9054053923392,38001,Ceará
2022,CE,R,1107,2728.780681336119,8179,Ceará
2022,CE,S,-1147,1662.8380299704952,31733,Ceará
2022,CE,T,2,1190.7954545454545,38,Ceará
2022,CE,U,-1,1874.02,1,Ceará
2022,MA,A,2108,1564.8851181218977,37238,Maranhão
2022,MA,B,90,2840.1150987840324,1198,Maranhão
2022,MA,C,2897,1600.9117398942492,30691,Maranhão
2022,MA,D,98,5477.037227093805,552,Maranhão
2022,MA,E,321,1596.0350165366588,1755,Maranhão
2022,MA,F,1461,1655.4879123239457,72783,Maranhão
2022,MA,G,8824,1347.4718333250476,134882,Maranhão
2022,MA,H,1104,1857.2127929452483,20924,Maranhão
2022,MA,I,2810,1368.647774104994,20496,Maranhão
2022,MA,J,1252,1560.3673611595889,7982,Maranhão
2022,MA,K,44,2669.2611314774645,2392,Maranhão
2022,MA,L,137,1528.7231832448613,1801,Maranhão
2022,MA,M,1460,1673.8038241916838,13122,Maranhão
2022,MA,N,5784,1467.6357833310713,51718,Maranhão
2022,MA,O,1144,1279.6871711956812,3274,Maranhão
2022,MA,P,1596,1196.549384309687,14298,Maranhão
2022,MA,Q,4652,1712.754617321224,26086,Maranhão
2022,MA,R,233,1308.6644927562422,1711,Maranhão
2022,MA,S,2578,1782.9279655365783,13940,Maranhão
2022,MA,T,1,478.8210625,17,Maranhão
2022,PB,A,426,1309.883716428118,11284,Paraíba
2022,PB,B,45,1613.8297772283477,633,Paraíba
2022,PB,C,2801,1167.9191969762107,47993,Paraíba
2022,PB,D,81,2576.7912192869494,671,Paraíba
2022,PB,E,506,1653.1249435869734,2066,Paraíba
2022,PB,F,2643,1523.8196266786988,58813,Paraíba
2022,PB,G,4984,1307.270704487618,87722,Paraíba
2022,PB,H,264,1493.8252439925147,7826,Paraíba
2022,PB,I,1492,1205.3529891099686,22216,Paraíba
2022,PB,J,412,2012.848904176735,7292,Paraíba
2022,PB,K,-18,2317.7304550195777,1868,Paraíba
2022,PB,L,205,1576.5423802410987,1757,Paraíba
2022,PB,M,1336,1553.6112116813665,9132,Paraíba
2022,PB,N,5242,1206.1338430464264,54786,Paraíba
2022,PB,O,-810,2804.0836775030525,1302,Paraíba
2022,PB,P,1057,1008.429692982592,13639,Paraíba
2022,PB,Q,1796,1592.3038240210078,13072,Paraíba
2022,PB,R,381,1234.9715052666972,2445,Paraíba
2022,PB,S,-34,1355.0806178573978,6298,Paraíba
2022,PB,T,0,970.102,32,Paraíba
2022,PE,A,1485,1344.4878269021522,80023,Pernambuco
2022,PE,B,147,1697.2170798044592,979,Pernambuco
2022,PE,C,6920,1329.800379622673,143036,Pernambuco
2022,PE,D,-449,2754.3773617656575,1229,Pernambuco
2022,PE,E,1759,1564.5803645535325,9689,Pernambuco
2022,PE,F,8838,1664.2186833634426,104258,Pernambuco
2022,PE,G,10583,7694.221383366206,236913,Pernambuco
2022,PE,H,3012,1734.171937613107,48732,Pernambuco
2022,PE,I,4721,1326.784902118243,60297,Pernambuco
2022,PE,J,1402,2619.456891257925,17794,Pernambuco
2022,PE,K,55,2921.178323356399,5691,Pernambuco
2022,PE,L,260,1695.2232843078227,4238,Pernambuco
2022,PE,M,1645,1839.516170399219,38531,Pernambuco
2022,PE,N,14532,1393.3387749446815,163090,Pernambuco
2022,PE,O,-283,1879.6724424789263,2327,Pernambuco
2022,PE,P,3097,1233.9864928236814,34943,Pernambuco
2022,PE,Q,-295,1780.01891946068,57121,Pernambuco
2022,PE,R,780,1937.6196765246168,7066,Pernambuco
2022,PE,S,1482,1505.4033401835286,21478,Pernambuco
2022,PE,T,-5,1279.539125,19,Pernambuco
2022,PE,U,-3,3534.0272222222225,9,Pernambuco
2022,PI,A,783,1590.9333763776922,17539,Piauí
2022,PI,B,263,2013.4305012810817,1079,Piauí
