uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
CE,Ceará,2018,5,67372,57348,10024,124720,1231.1521050712774,2030898.0,400277.9892465342,200096.2027600959,227091.34084876577,97.8,97.02722,6.4,0.4649999999999999,3.39,4.09,,15901784536.525618,3967230938.155568,3254351416.611037,,3177146.0,4608677.861250137,275945.0,1759757.0,2552653.5850351094,137943.0,156553.0,169.01,,10962426243.3,2018.0,2733293560.16,2243495834.85
CE,Ceará,2018,6,54508,57740,-3232,112248,1260.9515222422665,2030898.0,411313.97450429393,202021.11233372148,235610.5005022656,97.6,97.58103,6.4,-0.03,3.275,3.905,,15911381486.26906,3967230938.155568,23783787631.04692,,3265064.0,4739067.586688244,283382.0,1803027.0,2616998.262093406,139186.0,162328.0,,,10962426243.3,2018.0,2733293560.16,16386258975.48
CE,Ceará,2019,1,34029,32164,1865,66193,1305.5922529572613,,411944.5863858567,195394.521892668,233193.57717032975,98.02,96.71471,6.4,0.375,3.32,3.92,,13740819167.61218,2564829914.777432,4464680116.106676,,3247396.0,4678272.006725274,285949.0,1823184.0,2626520.039536112,135632.0,161870.0,169.54,,9538111750.98,2019.0,1843176072.89,3099132399.63
CE,Ceará,2019,2,30735,28582,2153,59317,1325.86631151272,,413655.3585649136,187459.28892554165,233310.7274001357,97.88,96.23963,6.4,0.6599999999999999,3.36,3.87,,13561231173.489452,2564829914.777432,3573789686.8693814,,3272570.0,4652920.773010079,290939.0,1852546.0,2633939.004011138,131847.0,164096.0,170.49,,9538111750.98,2019.0,1843176072.89,2513577489.52
CE,Ceará,2019,3,59981,61531,-1550,121512,1334.797240601029,,421439.65560820786,194656.85031968207,236377.85561245057,98.38,96.96174,6.4,0.07,3.38,3.875,,13889479140.124573,2564829914.777432,18356193690.169647,,3301611.0,4687647.779672036,296829.0,1882338.0,2672555.169670897,137101.0,166486.0,,,9782658439.52,2019.0,1843176072.89,12928661421.28
CE,Ceará,2019,4,32979,32089,890,65068,1326.996634290281,,430292.3944385057,193755.72180898665,238730.7853213272,97.17,96.9505,6.15,0.15,3.46,3.945,,13847906478.56434,2564829914.777432,3309004856.5597005,,3333007.0,4718059.974571182,303974.0,1921792.0,2720405.3020744035,136876.0,168648.0,170.53,,9782658439.52,2019.0,1843176072.89,2337599862.9500003
CE,Ceará,2019,5,34147,30651,3496,64798,1327.8047470600943,,439868.1832311682,194017.34261597524,243949.4726381481,98.09,98.49866,5.545,0.03,3.535,3.895,,15554959079.475882,2564829914.777432,3306332397.4465084,,3380309.0,4782151.253807082,310925.0,1964732.0,2779522.699609679,137143.0,172438.0,172.02,,10995170453.7,2019.0,1843176072.89,2337112434.7399993
CE,Ceará,2019,6,54980,53516,1464,108496,1337.6529822741295,,444505.3218394584,196315.2868947209,246514.6360163269,99.16,97.79923,4.745,0.83,3.525,3.785,,15300080395.200377,2564829914.777432,10803325654.999887,,3475872.0,4836770.950242965,319437.0,2017046.0,2806774.673550629,141079.0,177154.0,,,10995170453.7,2019.0,1843176072.89,7763645940.109998
CE,Ceará,2020,1,66054,57929,8125,123983,1297.368017992359,,446819.7839604925,191934.4724370452,247697.77650420865,99.54,98.07742,4.295,0.2299999999999999,3.615,3.82,,17214384400.97446,2424014937.102547,4487412284.825647,,3484672.0,4826787.826278764,322579.0,2042663.0,2829391.3750246963,138566.0,178824.0,168.1,,12427826844.33,2020.0,1820672781.84,3239661759.37
CE,Ceará,2020,2,43025,76794,-33769,119819,1237.4454599813146,,443621.9525478678,198081.09442686825,256122.4929214143,84.65,83.18811,3.8,-0.12,4.005,3.95,,17255835852.183502,2424014937.102547,3497886519.543426,,3584113.0,4976482.725287858,319501.0,2029785.0,2818323.5262248754,142660.0,184462.0,153.16,,12427826844.33,2020.0,1820672781.84,2519213114.8199997
