ano_bim,bimestre,uf,transferencias_federais_nominal,transferencias_federais_real
2024,2,AL,3123188611.53,3353309663.3552227
2024,2,BA,13444365953.9,14434966272.757803
2024,2,CE,6589369264.62,7074883517.726958
2024,2,MA,7771011126.499999,8343590460.189244
2024,2,PB,2808999520.56,3015970665.9661517
2024,2,PE,8132932919.2,8732179173.774883
2024,2,PI,3035180688.66,3258817189.5026045
2024,2,RN,2526334302.82,2712478266.3580456
2024,2,SE,2383506041.28,2559126212.0331287
2024,3,AL,2980018615.87,3178265613.788119
2024,3,BA,7813156094.32,8332929605.705395
2024,3,CE,5301594816.090001,5654285651.936093
2024,3,MA,5187399314.340001,5532493246.167733
2024,3,PB,3275324671.15,3493217029.205982
2024,3,PE,5677656359.89,6055364848.878852
2024,3,PI,3173573702.5999994,3384697034.468402
2024,3,RN,2847390597.11,3036814460.025212
2024,3,SE,2787318679.079999,2972746232.25902
2024,4,AL,2564461566.5499997,2725254610.722866
2024,4,BA,6501434331.669998,6909077570.045987
2024,4,CE,4661065392.249999,4953316562.353102
2024,4,MA,4556822562.63,4842537654.311642
2024,4,PB,2646779700.47,2812734133.4959006
2024,4,PE,4787055551.219998,5087206368.352658
2024,4,PI,2751307152.920001,2923815510.363526
2024,4,RN,2568269404.88,2729301202.452327
2024,4,SE,2256540046.800001,2398026255.1158786
2024,5,AL,2352721156.31,2475422747.208725
2024,5,BA,6105858752.420001,6424297926.869335
2024,5,CE,4169855357.519999,4387326044.521319
2024,5,MA,4038885825.0199995,4249526051.065965
2024,5,PB,2436009469.580001,2563054800.285754
2024,5,PE,4603222428.25,4843294531.011567
2024,5,PI,2606687174.899999,2742633868.9983244
2024,5,RN,2329201868.6799994,2450676856.927039
2024,5,SE,2144943103.309999,2256808434.4213867
2024,6,AL,3246633805.31,3385082767.210271
2024,6,BA,8304368446.640001,8658498681.0983
2024,6,CE,5745257710.690001,5990257613.233246
2024,6,MA,6968525409.71,7265690155.352722
2024,6,PB,3394461154.66,3539214043.7307763
2024,6,PE,6122009640.529999,6383075695.497013
2024,6,PI,3216005328.8599997,3353148174.634037
2024,6,RN,3563369502.979999,3715325294.15909
2024,6,SE,3030324947.7900004,3159549667.4229426
2025,1,AL,3540583773.7999997,3638012852.1081724
2025,1,BA,8993583330.91,9241066963.722866
2025,1,CE,6156510325.05,6325923948.589431
2025,1,MA,5929926452.72,6093104986.440637
2025,1,PB,3771500149.2,3875283538.2825623
2025,1,PE,6461040995.39,6638834633.1935625
