uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
PI,2023,2018902122.99,2206694457.7474966,2023,3
RN,2023,351066280.69,383721433.089249,2023,3
SE,2023,778917897.51,851370548.3305212,2023,3
AL,2023,1989365775.25,2174410725.8529396,2023,4
BA,2023,7924978490.57,8662136670.107193,2023,4
CE,2023,2409603164.84,2633737360.852532,2023,4
MA,2023,1692133081.26,1849530321.2904353,2023,4
PB,2023,1497813649.94,1637135868.2639408,2023,4
PE,2023,1443793992.59,1578091461.342856,2023,4
PI,2023,2018902122.99,2206694457.7474966,2023,4
RN,2023,351066280.69,383721433.089249,2023,4
SE,2023,778917897.51,851370548.3305212,2023,4
AL,2023,1989365775.25,2174410725.8529396,2023,5
BA,2023,7924978490.57,8662136670.107193,2023,5
CE,2023,2409603164.84,2633737360.852532,2023,5
MA,2023,1692133081.26,1849530321.2904353,2023,5
PB,2023,1497813649.94,1637135868.2639408,2023,5
PE,2023,1443793992.59,1578091461.342856,2023,5
PI,2023,2018902122.99,2206694457.7474966,2023,5
RN,2023,351066280.69,383721433.089249,2023,5
SE,2023,778917897.51,851370548.3305212,2023,5
AL,2023,1989365775.25,2174410725.8529396,2023,6
BA,2023,7924978490.57,8662136670.107193,2023,6
CE,2023,2409603164.84,2633737360.852532,2023,6
MA,2023,1692133081.26,1849530321.2904353,2023,6
PB,2023,1497813649.94,1637135868.2639408,2023,6
PE,2023,1443793992.59,1578091461.342856,2023,6
PI,2023,2018902122.99,2206694457.7474966,2023,6
RN,2023,351066280.69,383721433.089249,2023,6
SE,2023,778917897.51,851370548.3305212,2023,6
AL,2024,2529221187.32,2637076913.8352327,2024,1
BA,2024,7201937763.14,7509056109.94779,2024,1
CE,2024,3430741910.0,3577041950.124759,2024,1
MA,2024,2883155270.97,3006104109.1205273,2024,1
PB,2024,1776262432.34,1852009099.3702354,2024,1
PE,2024,2949750744.85,3075539470.335792,2024,1
PI,2024,2940181434.28,3065562087.530374,2024,1
RN,2024,884435528.36,922151263.5220281,2024,1
SE,2024,665068527.75,693429609.6524097,2024,1
AL,2024,2529221187.32,2637076913.8352327,2024,2
BA,2024,7201937763.14,7509056109.94779,2024,2
CE,2024,3430741910.0,3577041950.124759,2024,2
MA,2024,2883155270.97,3006104109.1205273,2024,2
PB,2024,1776262432.34,1852009099.3702354,2024,2
PE,2024,2949750744.85,3075539470.335792,2024,2
PI,2024,2940181434.28,3065562087.530374,2024,2
RN,2024,884435528.36,922151263.5220281,2024,2
SE,2024,665068527.75,693429609.6524097,2024,2
AL,2024,2529221187.32,2637076913.8352327,2024,3
BA,2024,7201937763.14,7509056109.94779,2024,3
CE,2024,3430741910.0,3577041950.124759,2024,3
MA,2024,2883155270.97,3006104109.1205273,2024,3
PB,2024,1776262432.34,1852009099.3702354,2024,3
PE,2024,2949750744.85,3075539470.335792,2024,3
PI,2024,2940181434.28,3065562087.530374,2024,3
RN,2024,884435528.36,922151263.5220281,2024,3
SE,2024,665068527.75,693429609.6524097,2024,3
AL,2024,2529221187.32,2637076913.8352327,2024,4
BA,2024,7201937763.14,7509056109.94779,2024,4
CE,2024,3430741910.0,3577041950.124759,2024,4
MA,2024,2883155270.97,3006104109.1205273,2024,4
PB,2024,1776262432.34,1852009099.3702354,2024,4
PE,2024,2949750744.85,3075539470.335792,2024,4
PI,2024,2940181434.28,3065562087.530374,2024,4
RN,2024,884435528.36,922151263.5220281,2024,4
SE,2024,665068527.75,693429609.6524097,2024,4
AL,2024,2529221187.32,2637076913.8352327,2024,5
BA,2024,7201937763.14,7509056109.94779,2024,5
CE,2024,3430741910.0,3577041950.124759,2024,5
MA,2024,2883155270.97,3006104109.1205273,2024,5
PB,2024,1776262432.34,1852009099.3702354,2024,5
PE,2024,2949750744.85,3075539470.335792,2024,5
PI,2024,2940181434.28,3065562087.530374,2024,5
RN,2024,884435528.36,922151263.5220281,2024,5
SE,2024,665068527.75,693429609.6524097,2024,5
AL,2024,2529221187.32,2637076913.8352327,2024,6
BA,2024,7201937763.14,7509056109.94779,2024,6
