ano_bim,bimestre,uf,dcl_nominal,dcl_real
2024,6,AL,12826319221.78,13373282842.485407
2024,6,BA,24083252428.23,25110255009.308666
2024,6,CE,12002714794.04,12514556751.855501
2024,6,MA,893355845.36,931451977.1736158
2024,6,PB,-448693341.72,-467827352.8521135
2024,6,PE,13166810527.22,13728294007.755959
2024,6,PI,10752874948.48,11211418924.590153
2024,6,RN,6932442046.08,7228068058.211023
2024,6,SE,1764039149.17,1839264568.3578913
2025,1,AL,12510011686.54,12854259693.680338
2025,1,BA,20707325875.93,21277145940.419964
2025,1,CE,9855517253.37,10126719411.994698
2025,1,MA,-1898015317.29,-1950244524.3339808
2025,1,PB,-1804452458.75,-1854107021.7087636
2025,1,PE,10078386246.63,10355721269.771975
2025,1,PI,10582064921.84,10873260074.334747
2025,1,RN,5805861451.53,5965625989.285991
2025,1,SE,721566368.13,741422287.5705472
2025,2,AL,12510011686.54,12727946534.040792
2025,2,BA,20707325875.93,21068064780.097095
2025,2,CE,9855517253.37,10027208591.753448
2025,2,MA,-1898015317.29,-1931080328.665874
2025,2,PB,-1804452458.75,-1835887527.0196185
2025,2,PE,10078386246.63,10253960148.937109
2025,2,PI,10582064921.84,10766413327.162914
2025,2,RN,5805861451.53,5907004405.010315
2025,2,SE,721566368.13,734136656.6589314
2025,3,AL,12869822421.75,13028800172.070932
2025,3,BA,21584909096.97,21851542169.025356
2025,3,CE,9932117325.8,10054806327.764063
2025,3,MA,-3741853974.41,-3788076176.0369473
2025,3,PB,-1678640676.51,-1699376511.8310657
2025,3,PE,10119113928.02,10244112853.008982
2025,3,PI,10935740134.5,11070826642.122591
2025,3,RN,5631731086.1,5701298474.766338
2025,3,SE,308042873.63,311848051.46752244
2025,4,AL,12869822421.75,13009323393.64537
2025,4,BA,21584909096.97,21818876256.62651
2025,4,CE,9932117325.8,10039775378.453964
2025,4,MA,-3741853974.41,-3782413373.678678
2025,4,PB,-1678640676.51,-1696836110.6164174
2025,4,PE,10119113928.02,10228798909.010345
2025,4,PI,10935740134.5,11054276842.091223
2025,4,RN,5631731086.1,5692775592.715461
2025,4,SE,308042873.63,311381869.21584463
2025,5,AL,13549741920.48,13618926089.741455
2025,5,BA,24569330296.45,24694779822.783855
2025,5,CE,11968573704.41,12029684523.630295
2025,5,MA,1734670640.67,1743527764.8810227
2025,5,PB,675407206.91,678855795.5840499
2025,5,PE,14981516040.5,15058010762.51183
2025,5,PI,13350546206.89,13418713294.789606
2025,5,RN,9472439843.82,9520805553.316154
2025,5,SE,1159844920.89,1165767019.4653692
2025,6,AL,13549741920.48,13549741920.48
2025,6,BA,24569330296.45,24569330296.45
2025,6,CE,11968573704.41,11968573704.41
2025,6,MA,1734670640.67,1734670640.67
2025,6,PB,675407206.91,675407206.91
2025,6,PE,14981516040.5,14981516040.5
2025,6,PI,13350546206.89,13350546206.89
2025,6,RN,9472439843.82,9472439843.82
2025,6,SE,1159844920.89,1159844920.89
