ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2016,PI,1,9.0,2375,2446,-71,2145.3636614642655,4821
2016,PI,2,1.0,23,28,-5,927.281388888889,51
2016,PI,2,2.0,152,231,-79,942.9380766555369,383
2016,PI,2,3.0,182,262,-80,952.4631949595994,444
2016,PI,2,4.0,473,546,-73,908.7547780807296,1019
2016,PI,2,5.0,1154,1306,-152,937.124468188624,2460
2016,PI,2,6.0,1386,1811,-425,870.1459733307804,3197
2016,PI,2,7.0,14888,15865,-977,972.7680273653228,30753
2016,PI,2,8.0,1352,1396,-44,1122.1437291652433,2748
2016,PI,2,9.0,3097,3075,22,1597.9937824728233,6172
2016,RN,1,1.0,844,1058,-214,956.2804467041909,1902
2016,RN,1,2.0,4987,6199,-1212,1026.6565993239794,11186
2016,RN,1,3.0,2624,3113,-489,1067.327270796604,5737
2016,RN,1,4.0,6025,6854,-829,1045.8833973456742,12879
2016,RN,1,5.0,6954,8752,-1798,1069.5565729957582,15706
2016,RN,1,6.0,6715,7775,-1060,1007.0671528159091,14490
2016,RN,1,7.0,42325,44924,-2599,1109.4783698442438,87249
2016,RN,1,8.0,1525,1572,-47,1306.827065842309,3097
2016,RN,1,9.0,3467,3626,-159,2282.5155184304995,7093
2016,RN,2,1.0,60,72,-12,900.0115329768271,132
2016,RN,2,2.0,408,628,-220,889.3674743874651,1036
2016,RN,2,3.0,283,411,-128,883.1439998625381,694
2016,RN,2,4.0,1021,1276,-255,876.7826575395122,2297
2016,RN,2,5.0,1312,1792,-480,909.450226213539,3104
2016,RN,2,6.0,2521,2870,-349,840.626569453067,5391
2016,RN,2,7.0,24632,26391,-1759,952.4450697784823,51023
2016,RN,2,8.0,1699,1809,-110,1091.656150933909,3508
2016,RN,2,9.0,4853,4936,-83,1608.0925386342399,9789
2016,SE,1,1.0,789,622,167,927.0786461580079,1411
2016,SE,1,2.0,6211,5011,1200,1013.0211268003129,11222
2016,SE,1,3.0,1706,2193,-487,1083.8317614077857,3899
2016,SE,1,4.0,3860,5242,-1382,1131.9597978791019,9102
2016,SE,1,5.0,3880,5156,-1276,1090.19576240452,9036
2016,SE,1,6.0,4013,5144,-1131,989.3157655029345,9157
2016,SE,1,7.0,22602,25136,-2534,1146.3472911174608,47738
2016,SE,1,8.0,1081,1344,-263,1381.2676704278786,2425
2016,SE,1,9.0,2118,2369,-251,2866.2408391464683,4487
2016,SE,2,1.0,41,43,-2,884.0235348348093,84
2016,SE,2,2.0,602,542,60,908.0686836779707,1144
2016,SE,2,3.0,178,277,-99,922.8375413395266,455
2016,SE,2,4.0,516,725,-209,936.9550322111463,1241
2016,SE,2,5.0,841,1100,-259,897.4144240278849,1941
2016,SE,2,6.0,1610,2042,-432,764.2253559593313,3652
2016,SE,2,7.0,13666,14557,-891,958.9341819116058,28223
2016,SE,2,8.0,1202,1382,-180,1087.733924984427,2584
2016,SE,2,9.0,2918,3009,-91,1891.8194140352716,5927
2017,AL,1,1.0,5080,4543,537,989.8794806810824,9623
2017,AL,1,2.0,11850,13373,-1523,1058.3227397107703,25223
2017,AL,1,3.0,3475,3934,-459,1087.8256652089283,7409
2017,AL,1,4.0,8354,8807,-453,1086.4856500019898,17161
2017,AL,1,5.0,4764,5023,-259,1138.598939631131,9787
2017,AL,1,6.0,3427,3939,-512,1100.7212969439622,7366
2017,AL,1,7.0,22588,22184,404,1186.1597009159095,44772
2017,AL,1,8.0,1116,1099,17,1414.0840987644906,2215
2017,AL,1,9.0,2059,1892,167,2790.9287657728896,3951
2017,AL,2,1.0,90,134,-44,959.1939719542027,224
2017,AL,2,2.0,254,378,-124,982.9613464848184,632
2017,AL,2,3.0,166,207,-41,992.6390979709574,373
2017,AL,2,4.0,414,559,-145,946.292624286936,973
2017,AL,2,5.0,1072,1225,-153,1007.6847047547269,2297
2017,AL,2,6.0,932,1179,-247,905.2574188435107,2111
2017,AL,2,7.0,12690,13117,-427,1043.7709006443206,25807
2017,AL,2,8.0,1249,1227,22,1194.0542875688948,2476
2017,AL,2,9.0,2998,2646,352,1981.7073730589395,5644
2017,BA,1,1.0,2260,2283,-23,1012.501310348249,4543
2017,BA,1,2.0,12829,15058,-2229,1204.5910069743602,27887
2017,BA,1,3.0,8645,10052,-1407,1194.1178640471876,18697
2017,BA,1,4.0,18653,19618,-965,1235.9194735239382,38271
2017,BA,1,5.0,20517,21914,-1397,1281.503278163114,42431
2017,BA,1,6.0,23143,22922,221,1164.4583606195888,46065
2017,BA,1,7.0,168229,159939,8290,1345.9982143252162,328168
2017,BA,1,8.0,5337,5052,285,1674.9870477147956,10389
2017,BA,1,9.0,13542,12466,1076,3521.05399457574,26008
2017,BA,2,1.0,397,416,-19,871.1032952535123,813
2017,BA,2,2.0,2669,2708,-39,930.5250191624121,5377
2017,BA,2,3.0,1739,2079,-340,967.2390183226152,3818
2017,BA,2,4.0,3612,4021,-409,994.1609060257686,7633
2017,BA,2,5.0,4476,5579,-1103,1021.0038085216632,10055
2017,BA,2,6.0,8412,8567,-155,907.9589589750492,16979
2017,BA,2,7.0,89428,91530,-2102,1076.9391816029217,180958
2017,BA,2,8.0,6291,6151,140,1283.2417588568094,12442
2017,BA,2,9.0,19493,16668,2825,2417.4347158353376,36161
2017,CE,1,1.0,1358,1377,-19,1042.306564916439,2735
2017,CE,1,2.0,6840,8246,-1406,1183.5800978295017,15086
2017,CE,1,3.0,3695,4481,-786,1169.549328592497,8176
2017,CE,1,4.0,12849,13532,-683,1136.8965409851562,26381
2017,CE,1,5.0,20826,23247,-2421,1163.4291125921068,44073
2017,CE,1,6.0,13830,14301,-471,1046.6761313691297,28131
2017,CE,1,7.0,108774,104253,4521,1169.0516518143177,213027
2017,CE,1,8.0,5304,5231,73,1571.198630945787,10535
2017,CE,1,9.0,10600,9941,659,3159.9924797947597,20541
2017,CE,2,1.0,122,154,-32,932.5665673849212,276
2017,CE,2,2.0,672,841,-169,956.8026584796274,1513
2017,CE,2,3.0,470,731,-261,967.8765943436176,1201
2017,CE,2,4.0,2160,2618,-458,969.9762975862546,4778
2017,CE,2,5.0,4781,5937,-1156,981.0797867194007,10718
2017,CE,2,6.0,5149,5561,-412,887.9758234154411,10710
2017,CE,2,7.0,66397,65856,541,1031.1785982104718,132253
2017,CE,2,8.0,6243,6042,201,1318.7918564987115,12285
2017,CE,2,9.0,14577,12499,2078,2225.094115742881,27076
2017,MA,1,1.0,817,981,-164,1041.010445916617,1798
2017,MA,1,2.0,3772,4394,-622,1141.9284274366232,8166
2017,MA,1,3.0,2200,2725,-525,1207.72505097761,4925
2017,MA,1,4.0,5681,5906,-225,1224.9395010020262,11587
2017,MA,1,5.0,8418,8996,-578,1294.3211683175186,17414
2017,MA,1,6.0,4358,4831,-473,1186.8845520055052,9189
2017,MA,1,7.0,43362,42861,501,1298.4443947218147,86223
2017,MA,1,8.0,1204,1110,94,1624.7858998377333,2314
2017,MA,1,9.0,3505,3146,359,3207.257654901374,6651
2017,MA,2,1.0,28,45,-17,998.3326278659612,73
2017,MA,2,2.0,155,168,-13,1018.1401268131813,323
2017,MA,2,3.0,128,172,-44,1007.7967395105562,300
2017,MA,2,4.0,404,585,-181,1005.6271958897592,989
2017,MA,2,5.0,1073,1238,-165,1026.5302118503164,2311
2017,MA,2,6.0,979,1188,-209,959.1041849746733,2167
2017,MA,2,7.0,21805,23066,-1261,1081.5687521416794,44871
2017,MA,2,8.0,1316,1274,42,1336.1754463571551,2590
2017,MA,2,9.0,5398,4127,1271,2169.3517432995463,9525
2017,PB,1,1.0,1758,1892,-134,1031.61885172931,3650
2017,PB,1,2.0,6109,6155,-46,1082.996576363109,12264
2017,PB,1,3.0,2701,3050,-349,1098.3795938339729,5751
2017,PB,1,4.0,5178,5366,-188,1105.0812773618661,10544
