cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2305233,03,Grande Fortaleza,2016,1,5179513.0
2305506,02,Centro Sul,2016,1,54471143.0
2306306,06,Litoral Oeste / Vale do Curu,2016,1,0.0
2306405,06,Litoral Oeste / Vale do Curu,2016,1,72775521.0
2306900,14,Vale do Jaguaribe,2016,1,23389679.0
2307304,01,Cariri,2016,1,85671107.0
2307502,01,Cariri,2016,1,22295388.0
2307601,14,Vale do Jaguaribe,2016,1,34075353.0
2307650,03,Grande Fortaleza,2016,1,149661674.0
2307700,03,Grande Fortaleza,2016,1,4368347.0
2308500,09,Sertão Central,2016,1,14491796.0
2309300,12,Sertão dos Crateús,2016,1,28794488.0
2309607,03,Grande Fortaleza,2016,1,23823024.0
2311306,09,Sertão Central,2016,1,27385152.0
2311405,09,Sertão Central,2016,1,9726438.0
2311801,14,Vale do Jaguaribe,2016,1,1110331.0
2312205,12,Sertão dos Crateús,2016,1,2849074.0
2312304,08,Serra da Ibiapaba,2016,1,22471854.0
2312908,11,Sertão de Sobral,2016,1,84273476.0
2313302,13,Sertão dos Inhamuns,2016,1,15440260.0
2313401,08,Serra da Ibiapaba,2016,1,25866384.0
2314102,08,Serra da Ibiapaba,2016,1,1068858.0
2300200,05,Litoral Norte,2016,2,10237059.0
2300309,02,Centro Sul,2016,2,7904284.0
2301000,03,Grande Fortaleza,2016,2,4086882.0
2301109,04,Litoral Leste,2016,2,40949225.0
2301901,01,Cariri,2016,2,18901233.0
2302107,07,Maciço do Baturité,2016,2,26002232.0
2302404,10,Sertão de Canindé,2016,2,17160331.0
2302503,01,Cariri,2016,2,28744862.0
2302701,01,Cariri,2016,2,15706427.0
2302800,10,Sertão de Canindé,2016,2,26706241.0
2303501,03,Grande Fortaleza,2016,2,15430452.0
2303709,03,Grande Fortaleza,2016,2,3598479.0
2304103,12,Sertão dos Crateús,2016,2,32775266.0
2304202,01,Cariri,2016,2,33929912.0
