cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2308500,2015,6,13753114.0,10757751.0,1371881.0,0.0,0.0,0.0,13753114.0
2309300,2015,6,29635208.0,24075893.0,2410695.0,385551.0,0.0,0.0,29635208.0
2309607,2015,6,23152579.0,20098961.0,3035360.0,0.0,0.0,0.0,23152579.0
2311306,2015,6,24687932.0,17036460.0,2587733.0,1242486.0,399070.0,0.0,24687932.0
2311405,2015,6,9880638.0,6963524.0,670818.0,49455.0,0.0,0.0,9880638.0
2311801,2015,6,396867.0,298462.0,65275.0,0.0,0.0,0.0,396867.0
2312205,2015,6,2224112.0,1518663.0,449242.0,0.0,0.0,0.0,2224112.0
2312304,2015,6,21474363.0,17503414.0,1720494.0,2084090.0,0.0,0.0,21474363.0
2312908,2015,6,79800506.0,62357840.0,10727948.0,238106.0,0.0,0.0,79800506.0
2313302,2015,6,16848550.0,14160039.0,1323199.0,0.0,43159.0,0.0,16848550.0
2313401,2015,6,25645064.0,19092226.0,4472402.0,999114.0,0.0,0.0,25645064.0
2314102,2015,6,1113522.0,723218.0,377621.0,0.0,0.0,0.0,1113522.0
2300200,2015,7,8796833.0,5333074.0,3303545.0,0.0,0.0,0.0,8796833.0
2300309,2015,7,7982239.0,6681403.0,991191.0,0.0,0.0,0.0,7982239.0
2301000,2015,7,1248237.0,957125.0,247777.0,0.0,0.0,0.0,1248237.0
2301109,2015,7,39484849.0,24084806.0,4103347.0,1523280.0,0.0,0.0,39484849.0
2301901,2015,7,24722655.0,21753709.0,2769302.0,0.0,0.0,0.0,24722655.0
2302107,2015,7,24534808.0,18207991.0,1567231.0,3021365.0,212425.0,0.0,24534808.0
2302404,2015,7,16425740.0,12422309.0,1585654.0,154883.0,0.0,0.0,16425740.0
2302503,2015,7,27183796.0,21606451.0,2356018.0,1341398.0,0.0,0.0,27183796.0
2302701,2015,7,14710119.0,11120621.0,849021.0,26558.0,0.0,0.0,14710119.0
2302800,2015,7,26992491.0,22721323.0,1779075.0,37361.0,0.0,0.0,26992491.0
2303501,2015,7,15868276.0,14394299.0,1372304.0,0.0,0.0,0.0,15868276.0
2303709,2015,7,2374281.0,1236470.0,1047613.0,0.0,0.0,0.0,2374281.0
2304103,2015,7,32149371.0,24989513.0,2306551.0,60377.0,0.0,0.0,32149371.0
2304202,2015,7,30957453.0,21865440.0,3628173.0,594949.0,0.0,0.0,30957453.0
2304285,2015,7,1673654.0,1330159.0,279686.0,0.0,0.0,0.0,1673654.0
2304400,2015,7,4727629985.0,651528089.0,804493141.0,13626283.0,0.0,691256670.0,4727629985.0
2304707,2015,7,30177492.0,26821054.0,2994477.0,228150.0,0.0,0.0,30177492.0
2305233,2015,7,3566849.0,1554727.0,1930055.0,0.0,0.0,0.0,3566849.0
2305506,2015,7,50827118.0,38233321.0,5154763.0,790057.0,0.0,0.0,50827118.0
2306306,2015,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306405,2015,7,67862879.0,54542824.0,7926721.0,1146357.0,0.0,0.0,67862879.0
2306900,2015,7,21673886.0,16502873.0,1698750.0,834942.0,0.0,0.0,21673886.0
2307304,2015,7,77196823.0,60430754.0,12013770.0,143778.0,0.0,0.0,77196823.0
2307502,2015,7,20219098.0,7791400.0,669423.0,2261199.0,0.0,0.0,20219098.0
2307601,2015,7,32742505.0,21817050.0,6287584.0,2902226.0,385715.0,0.0,32742505.0
2307650,2015,7,120681533.0,88251317.0,32017418.0,150011.0,0.0,0.0,120681533.0
2307700,2015,7,3448308.0,1726767.0,1626863.0,0.0,0.0,0.0,3448308.0
2308500,2015,7,13462601.0,10545838.0,1233453.0,0.0,0.0,0.0,13462601.0
2309300,2015,7,29103080.0,23711731.0,2202410.0,388935.0,0.0,0.0,29103080.0
2309607,2015,7,23315815.0,20152945.0,3145050.0,0.0,0.0,0.0,23315815.0
2311306,2015,7,24693069.0,16975139.0,2571483.0,1258505.0,406127.0,0.0,24693069.0
2311405,2015,7,9547865.0,6574684.0,675260.0,48098.0,0.0,0.0,9547865.0
2311801,2015,7,525529.0,325373.0,162042.0,0.0,0.0,0.0,525529.0
2312205,2015,7,2362415.0,1508832.0,521533.0,0.0,0.0,0.0,2362415.0
2312304,2015,7,22042396.0,18009190.0,1749851.0,2106978.0,0.0,0.0,22042396.0
2312908,2015,7,80727926.0,63734212.0,10276807.0,241258.0,0.0,0.0,80727926.0
2313302,2015,7,16670603.0,13951514.0,1325211.0,0.0,43159.0,0.0,16670603.0
2313401,2015,7,25389634.0,19114264.0,4133280.0,1008443.0,0.0,0.0,25389634.0
2314102,2015,7,1211483.0,809519.0,387682.0,0.0,0.0,0.0,1211483.0
2300200,2015,8,9053621.0,5356256.0,3502113.0,0.0,0.0,0.0,9053621.0
2300309,2015,8,8067228.0,6598980.0,1164801.0,0.0,0.0,0.0,8067228.0
2301000,2015,8,1476835.0,1141730.0,281412.0,0.0,0.0,0.0,1476835.0
2301109,2015,8,39857589.0,24244265.0,4191657.0,1535465.0,0.0,0.0,39857589.0
2301901,2015,8,25067960.0,21958493.0,2899537.0,0.0,0.0,0.0,25067960.0
2302107,2015,8,24940739.0,18610599.0,1532318.0,3040201.0,214642.0,0.0,24940739.0
2302404,2015,8,16597298.0,12532338.0,1636669.0,155360.0,0.0,0.0,16597298.0
2302503,2015,8,27616438.0,22054224.0,2300826.0,1346472.0,0.0,0.0,27616438.0
2302701,2015,8,15019764.0,11367564.0,898409.0,26823.0,0.0,0.0,15019764.0
2302800,2015,8,27671659.0,23465610.0,1715096.0,37729.0,0.0,0.0,27671659.0
2303501,2015,8,15345623.0,13936250.0,1286992.0,0.0,0.0,0.0,15345623.0
2303709,2015,8,2493838.0,1360441.0,1015771.0,0.0,0.0,0.0,2493838.0
2304103,2015,8,31972837.0,24858545.0,2217719.0,61007.0,0.0,0.0,31972837.0
